type,description,priorite,categorie
Incident,Problème de fonctionnement du système de détection d'incendie du bâtiment B,Haute,Matériel
Demande,Demande de remplacement des clés USB endommagées,Basse,Matériel
Incident,Ordinateur du laboratoire 3 ne démarre plus,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des impressions,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de connexion Wi-Fi du bâtiment A,Basse,Matériel
Demande,Demande de mise à jour des drivers des scanners 3D,Moyenne,Matériel
Incident,Écran de l'ordinateur portable du professeur Y endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux ordinateurs pour la salle de conférence,Moyenne,Matériel
Incident,Problème de fonctionnement du système de sécurité des accès du bâtiment C,Haute,Matériel
Demande,Demande de remplacement des batteries des ordinateurs fixes des laboratoires,Basse,Matériel
Incident,Ordinateur du laboratoire 2 ne reconnaît plus les périphériques réseau,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des mises à jour des logiciels,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de recharge des ordinateurs fixes,Basse,Matériel
Demande,Demande de mise à jour des logiciels de productivité des ordinateurs de la salle 1,Moyenne,Matériel
Incident,Écran de l'ordinateur fixe du laboratoire 1 endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux ordinateurs pour la salle 3,Moyenne,Matériel
Incident,Problème de fonctionnement du système de climatisation du bâtiment A,Haute,Matériel
Demande,Demande de remplacement des câbles HDMI endommagés,Basse,Matériel
Incident,Ordinateur du laboratoire 3 ne reconnaît plus les périphériques audio,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des impressions 3D,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de connexion Wi-Fi du bâtiment C,Basse,Matériel
Demande,Demande de mise à jour des drivers des imprimantes laser,Moyenne,Matériel
Incident,Écran de l'ordinateur portable du professeur Z endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux écrans pour les ordinateurs de la salle 3,Moyenne,Matériel
Incident,Problème de fonctionnement du système de sécurité des accès du bâtiment B,Haute,Matériel
Demande,Demande de remplacement des clés USB endommagées,Basse,Matériel
Incident,Ordinateur du laboratoire 1 ne démarre plus,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des mises à jour des systèmes d'exploitation,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de recharge des ordinateurs portables,Basse,Matériel
Demande,Demande de mise à jour des logiciels de développement des ordinateurs de la salle 2,Moyenne,Matériel
Incident,Écran de l'ordinateur fixe du laboratoire 2 endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux ordinateurs pour la salle de conférence,Moyenne,Matériel
Incident,Problème de fonctionnement du système de climatisation du bâtiment C,Haute,Matériel
Demande,Demande de remplacement des batteries des ordinateurs fixes des laboratoires,Basse,Matériel
Incident,Ordinateur du laboratoire 3 ne reconnaît plus les périphériques réseau,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des impressions,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de connexion Wi-Fi du bâtiment A,Basse,Matériel
Demande,Demande de mise à jour des drivers des scanners 3D,Moyenne,Matériel
Incident,Écran de l'ordinateur portable du professeur X endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux écrans pour les ordinateurs de la salle 2,Moyenne,Matériel
Incident,Problème de fonctionnement du système de sécurité des accès du bâtiment C,Haute,Matériel
Demande,Demande de remplacement des clés USB endommagées,Basse,Matériel
Incident,Ordinateur du laboratoire 2 ne démarre plus,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des mises à jour des logiciels,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de recharge des ordinateurs fixes,Basse,Matériel
Demande,Demande de mise à jour des logiciels de productivité des ordinateurs de la salle 1,Moyenne,Matériel
Incident,Écran de l'ordinateur fixe du laboratoire 1 endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux ordinateurs pour la salle 3,Moyenne,Matériel
Incident,Problème de fonctionnement du système de climatisation du bâtiment A,Haute,Matériel
Demande,Demande de remplacement des câbles HDMI endommagés,Basse,Matériel
Incident,Ordinateur du laboratoire 3 ne reconnaît plus les périphériques audio,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des impressions 3D,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de connexion Wi-Fi du bâtiment C,Basse,Matériel
Demande,Demande de mise à jour des drivers des imprimantes laser,Moyenne,Matériel
Incident,Écran de l'ordinateur portable du professeur Y endommagé,Basse,Matériel
Demande,Demande d'installation de nouveaux écrans pour les ordinateurs de la salle 3,Moyenne,Matériel
Incident,Problème de fonctionnement du système de sécurité des accès du bâtiment B,Haute,Matériel
Demande,Demande de remplacement des clés USB endommagées,Basse,Matériel
Incident,Ordinateur du laboratoire 1 ne démarre plus,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des mises à jour des systèmes d'exploitation,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de recharge des ordinateurs portables,Basse,Matériel
Demande,Demande de mise à jour des logiciels de développement des ordinateurs de la salle 2,Moyenne,Matériel
Incident,Écran de l'ordinateur fixe du laboratoire 2 endommagé,Basse,Matériel
Demande,Demande de remplacement des clés USB endommagées,Basse,Matériel
Incident,Ordinateur du laboratoire 1 ne démarre plus,Haute,Matériel
Demande,Demande d'installation d'un système de gestion des mises à jour des systèmes d'exploitation,Moyenne,Matériel
Incident,Problème de fonctionnement de la borne de recharge des ordinateurs portables,Basse,Matériel
Demande,Demande de mise à jour des logiciels de développement des ordinateurs de la salle 2,Moyenne,Matériel
Incident,Erreur de lien dans la documentation de Python,Haute,Documentation
Demande,Ajouter une section sur les meilleures pratiques de codage, Moyenne,Documentation
Incident,La documentation de JavaScript est incomplète,Élevée,Documentation
Demande,Créer un tutoriel sur l'utilisation de Git, Basse,Documentation
Incident,La documentation de HTML/CSS est obsolète,Haute,Documentation
Demande,Ajouter des exemples de code pour les débutants, Moyenne,Documentation
Incident,Le lien de téléchargement de la documentation est cassé,Élevée,Documentation
Demande,Créer un glossaire des termes techniques, Basse,Documentation
Incident,La documentation de Java est introuvable,Haute,Documentation
Demande,Ajouter des vidéos de tutoriels pour les étapes complexes, Moyenne,Documentation
Incident,La documentation de C++ est erronée,Élevée,Documentation
Demande,Créer un guide de démarrage rapide pour les nouveaux étudiants, Basse,Documentation
Incident,La documentation de Ruby est incomplète,Haute,Documentation
Demande,Ajouter des exercices pratiques pour les étudiants, Moyenne,Documentation
Incident,Le système de recherche de la documentation ne fonctionne pas,Élevée,Documentation
Demande,Créer un forum de discussion pour les étudiants, Basse,Documentation
Incident,La documentation de PHP est obsolète,Haute,Documentation
Demande,Ajouter des ressources supplémentaires pour les étudiants avancés, Moyenne,Documentation
Incident,La documentation de Swift est introuvable,Élevée,Documentation
Demande,Créer un guide de style pour les contributeurs, Basse,Documentation
Incident,La documentation de Go est erronée,Haute,Documentation
Demande,Ajouter des exemples de projets pour les étudiants, Moyenne,Documentation
Incident,La documentation de Rust est incomplète,Élevée,Documentation
Demande,Créer un système de notation pour les étudiants, Basse,Documentation
Incident,La documentation de TypeScript est obsolète,Haute,Documentation
Demande,Ajouter des ressources pour les étudiants handicapés, Moyenne,Documentation
Incident,La documentation de Lisp est obsolète,Haute,Documentation
Demande,Ajouter des ressources pour les étudiants étrangers, Moyenne,Documentation
Incident,La documentation de Prolog est introuvable,Élevée,Documentation
Demande,Créer un guide de contribution pour les étudiants, Basse,Documentation
Incident,La documentation de R est erronée,Haute,Documentation
Demande,Ajouter des exemples de code pour les étudiants avancés, Moyenne,Documentation
Incident,La documentation de MATLAB est incomplète,Élevée,Documentation
Demande,Créer un système de notation pour les contributeurs, Basse,Documentation
Incident,La documentation de Julia est obsolète,Haute,Documentation
Demande,Ajouter des ressources pour les étudiants débutants, Moyenne,Documentation
Incident,La documentation de Lua est introuvable,Élevée,Documentation
Demande,Créer un guide de démarrage rapide pour les nouveaux professeurs, Basse,Documentation
Incident,La documentation de Perl est erronée,Haute,Documentation
Demande,Ajouter des exercices pratiques pour les étudiants avancés, Moyenne,Documentation
Incident,La documentation de Tcl est incomplète,Élevée,Documentation
Demande,Créer un système de suivi des progrès pour les professeurs, Basse,Documentation
Incident,La documentation de SQL est obsolète,Haute,Documentation
Demande,Ajouter des ressources pour les étudiants en difficulté, Moyenne,Documentation
Incident,La documentation de NoSQL est introuvable,Élevée,Documentation
Demande,Créer un guide de contribution pour les professeurs, Basse,Documentation
Incident,La documentation de MongoDB est erronée,Haute,Documentation
Demande,Ajouter des exemples de code pour les étudiants débutants, Moyenne,Documentation
Incident,La documentation de Cassandra est incomplète,Élevée,Documentation
Demande,Créer un système de notation pour les étudiants en ligne, Basse,Documentation
Incident,La documentation de PostgreSQL est obsolète,Haute,Documentation
Demande,Ajouter des ressources pour les étudiants étrangers, Moyenne,Documentation
Incident,La documentation de MySQL est introuvable,Élevée,Documentation
Demande,Créer un guide de démarrage rapide pour les nouveaux étudiants en ligne, Basse,Documentation
Incident,La documentation de Oracle est erronée,Haute,Documentation
Demande,Ajouter des exercices pratiques pour les étudiants en ligne, Moyenne,Documentation
Incident,La documentation de Microsoft SQL Server est incomplète,Élevée,Documentation
Demande,Créer un système de suivi des progrès pour les étudiants en ligne, Basse,Documentation
Incident,La documentation de Firebase est obsolète,Haute,Documentation
Demande,Ajouter des ressources pour les étudiants en difficulté en ligne, Moyenne,Documentation
Incident,La documentation de Redis est introuvable,Élevée,Documentation
Demande,Créer un guide de contribution pour les étudiants en ligne, Basse,Documentation
Incident,La documentation de RabbitMQ est erronée,Haute,Documentation
Demande,Ajouter des exemples de code pour les étudiants avancés en ligne, Moyenne,Documentation
Incident,La documentation de Apache Kafka est incomplète,Élevée,Documentation
Demande,Créer un système de notation pour les étudiants en ligne, Basse,Documentation
Incident,La documentation de Apache Storm est obsolète,Haute,Documentation
Demande,Ajouter des ressources pour les étudiants étrangers en ligne, Moyenne,Documentation
Incident,La documentation de Apache Flink est introuvable,Élevée,Documentation
Demande,Créer un guide de démarrage rapide pour les nouveaux professeurs en ligne, Basse,Documentation
Incident,La documentation de Apache Spark est erronée,Haute,Documentation
Demande,Ajouter des exercices pratiques pour les étudiants avancés en ligne, Moyenne,Documentation
